Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
315107746;2022-06-16 21:00:00;0.0;R;20;R
314004824;2022-06-16 22:00:00;0.23;R;20;R
315107746;2022-06-16 22:00:00;0.0;R;20;R
314004824;2022-06-16 23:00:00;0.17;R;20;R
315107746;2022-06-16 23:00:00;0.0;R;20;R
314004824;2022-06-17 00:00:00;0.14;R;19;R
315107746;2022-06-17 00:00:00;0.0;R;19;R
314004824;2022-06-17 01:00:00;0.14;R;19;R
315107746;2022-06-17 01:00:00;0.0;R;19;R
314004824;2022-06-17 02:00:00;0.1;R;19;R
315107746;2022-06-17 02:00:00;0.0;R;19;R
314004824;2022-06-17 03:00:00;0.15;R;21;R
315107746;2022-06-17 03:00:00;0.0;R;21;R
314004824;2022-06-17 04:00:00;0.1;R;20;R
315107746;2022-06-17 04:00:00;0.0;R;20;R
315107746;2022-06-17 05:00:00;0.0;R;21;R
314004824;2022-06-17 05:00:00;0.13;R;21;R
315107746;2022-06-17 06:00:00;0.0;R;22;R
314004824;2022-06-17 06:00:00;0.14;R;22;R
315107746;2022-06-17 07:00:00;0.0;R;23;R
314004824;2022-06-17 07:00:00;0.09;R;23;R
315107746;2022-06-17 08:00:00;0.0;R;24;R
314004824;2022-06-17 08:00:00;0.18;R;24;R
315107746;2022-06-17 09:00:00;0.27;R;24;R
314004824;2022-06-17 09:00:00;0.14;R;24;R
314004824;2022-06-17 10:00:00;0.2;R;24;R
315107746;2022-06-17 10:00:00;0.46;R;24;R
315107746;2022-06-17 11:00:00;0.0;R;25;R
314004824;2022-06-17 11:00:00;0.12;R;25;R
314004824;2022-06-17 12:00:00;0.2;R;25;R
315107746;2022-06-17 12:00:00;0.0;R;25;R
315107746;2022-06-17 13:00:00;0.0;R;26;R
314004824;2022-06-17 13:00:00;0.14;R;26;R
314004824;2022-06-17 14:00:00;0.17;R;26;R
315107746;2022-06-17 14:00:00;0.0;R;26;R
315107746;2022-06-17 15:00:00;0.0;R;27;R
